City,Country,Continent,Summer (Olympiad),Winter,Year,Opening Ceremony,Closing Ceremony,Season,Lat,Long
Athens,Greece,Europe,I,-,1896,6-Apr,15-Apr,Summer,37.9838096,23.7275388
Paris,France,Europe,II,-,1900,14-May,28-Oct,Summer,48.856614,2.3522219
St. Louis,United States,North America,III,-,1904,1-Jul,23-Nov,Summer,38.6270025,-90.1994042
London,United Kingdom,Europe,IV,-,1908,27-Apr,31-Oct,Summer,51.5073509,-0.1277583
Stockholm,Sweden,Europe,V,-,1912,5-May,22-Jul,Summer,59.3293235,18.0685808
Berlin,Germany,Europe,VI,-,1916,Cancelled due to World War I,,Null,52.5200066,13.404954
Antwerp,Belgium,Europe,VII,-,1920,20-Apr,12-Sep,Summer,51.2194475,4.4024643
Chamonix,France,Europe,-,I,1924,25-Jan,4-Feb,Winter,45.923697,6.869433
Paris,France,Europe,VIII,-,1924,4-May,27-Jul,Summer,48.856614,2.3522219
St. Moritz,Switzerland,Europe,-,II,1928,11-Feb,19-Feb,Winter,46.4907973,9.8355079
Amsterdam,Netherlands,Europe,IX,-,1928,17-May,12-Aug,Summer,52.3679843,4.9035614
Lake Placid,United States,North America,-,III,1932,4-Feb,15-Feb,Winter,44.2794911,-73.9798713
Los Angeles,United States,North America,X,-,1932,30-Jul,14-Aug,Summer,34.0522342,-118.2436849
Garmisch-Partenkirchen,Nazi Germany,Europe,-,IV,1936,6-Feb,16-Feb,Winter,47.4916945,11.0954984
Berlin,Nazi Germany,Europe,XI,-,1936,1-Aug,16-Aug,Summer,52.5200066,13.404954
Sapporo,Empire of Japan,Asia,-,V,1940,Cancelled due to World War II,Cancelled due to World War II,Null,43.0620958,141.3543763
"
 Garmisch-Partenkirchen","
  Germany","
 Europe",-,V,1940,Cancelled due to World War II,Cancelled due to World War II,Null,47.4916945,11.0954984
Tokyo,Japan,Asia,XII,-,1940,Cancelled due to World War II,Cancelled due to World War II,Null,35.6894875,139.6917064
Helsinki,"
  Finland","
 Europe",XII,-,1940,Cancelled due to World War II,Cancelled due to World War II,Null,60.1698557,24.9383791
Cortina d'Ampezzo,Italy,Europe,-,V,1944,Cancelled due to World War II,Cancelled due to World War II,Null,46.5404711,12.1356524
London,United Kingdom,Europe,XIII,-,1944,Cancelled due to World War II,Cancelled due to World War II,Null,51.5073509,-0.1277583
St. Moritz,Switzerland,Europe,-,V,1948,30-Jan,8-Feb,Winter,46.4907973,9.8355079
London,United Kingdom,Europe,XIV,-,1948,29-Jul,14-Aug,Summer,51.5073509,-0.1277583
Oslo,Norway,Europe,-,VI,1952,14-Feb,25-Feb,Winter,59.9138688,10.7522454
Helsinki,Finland,Europe,XV,-,1952,19-Jul,3-Aug,Summer,60.1698557,24.9383791
Cortina d'Ampezzo,Italy,Europe,-,VII,1956,26-Jan,5-Feb,Winter,46.5404711,12.1356524
Melbourne,"Australia
","Oceania
",XVI,-,1956,"
 June 10","
 June 17",Summer,-37.8136276,144.9630576
Squaw Valley,United States,North America,-,VIII,1960,18-Feb,28-Feb,Winter,59.3293235,18.0685808
